Locations,Total Cases,Rate,collect_time,Deaths,Death_rate
City of Avalon,0,0,2020-06-01,0,0
City of Azusa,183,365.71,2020-06-01,5,9.99
City of Baldwin Park,357,465.03,2020-06-01,6,7.82
City of Bell,348,957.83,2020-06-01,23,63.31
City of Bell Gardens,324,752.25,2020-06-01,10,23.22
City of Bellflower,421,541.58,2020-06-01,20,25.73
City of Beverly Hills,139,402.67,2020-06-01,5,14.48
City of Bradbury,3,280.64,2020-06-01,0,0
City of Burbank,404,376.94,2020-06-01,39,36.39
City of Calabasas,81,333.02,2020-06-01,9,37
City of Carson,423,450.74,2020-06-01,24,25.57
City of Cerritos,129,257.65,2020-06-01,1,2
City of Claremont,45,123.34,2020-06-01,0,0
City of Commerce*,80,612.14,2020-06-01,0,0
City of Compton,634,634.61,2020-06-01,15,15.01
City of Covina,181,369.15,2020-06-01,6,12.24
City of Cudahy,261,1072,2020-06-01,5,20.54
City of Culver City,161,403.86,2020-06-01,20,50.17
City of Diamond Bar,68,118.23,2020-06-01,1,1.74
City of Downey,745,652,2020-06-01,23,20.13
City of Duarte,129,585.94,2020-06-01,15,68.13
City of El Monte,568,484.36,2020-06-01,22,18.76
City of El Segundo,35,208.51,2020-06-01,0,0
City of Gardena,279,455.06,2020-06-01,23,37.51
City of Glendale,985,477.01,2020-06-01,83,40.2
City of Glendora,149,282.39,2020-06-01,6,11.37
City of Hawaiian Gardens,74,504.22,2020-06-01,1,6.81
City of Hawthorne,407,458.4,2020-06-01,13,14.64
City of Hermosa Beach,29,147.43,2020-06-01,2,10.17
City of Hidden Hills,3,158.73,2020-06-01,0,0
City of Huntington Park,534,897.72,2020-06-01,11,18.49
City of Industry,11,2517.16,2020-06-01,2,457.67
City of Inglewood,614,540.58,2020-06-01,55,48.42
City of Irwindale,4,274.16,2020-06-01,0,0
City of La Canada Flintridge,51,246.46,2020-06-01,5,24.16
City of La Habra Heights,9,164.99,2020-06-01,0,0
City of La Mirada,184,370.98,2020-06-01,15,30.24
City of La Puente,137,336.63,2020-06-01,0,0
City of La Verne,30,90.14,2020-06-01,1,3
City of Lakewood,196,243.9,2020-06-01,6,7.47
City of Lancaster*,613,379.4,2020-06-01,12,7.43
City of Lawndale,126,374.84,2020-06-01,4,11.9
City of Lomita,52,250.86,2020-06-01,6,28.94
City of Lynwood*,645,895.25,2020-06-01,35,48.58
City of Malibu,38,293.19,2020-06-01,1,7.72
City of Manhattan Beach,80,222.23,2020-06-01,3,8.33
City of Maywood,305,1087.38,2020-06-01,9,32.09
City of Monrovia,162,417.53,2020-06-01,19,48.97
City of Montebello,424,658.64,2020-06-01,15,23.3
City of Monterey Park,168,269.83,2020-06-01,7,11.24
City of Norwalk,480,446.01,2020-06-01,18,16.73
City of Palmdale,768,483.12,2020-06-01,16,10.06
City of Palos Verdes Estates,42,310.6,2020-06-01,1,7.4
City of Paramount,360,642.59,2020-06-01,8,14.28
City of Pico Rivera,542,843.13,2020-06-01,28,43.56
City of Pomona,518,332.2,2020-06-01,13,8.34
City of Rancho Palos Verdes,96,224.58,2020-06-01,11,25.73
City of Redondo Beach,143,208.16,2020-06-01,7,10.19
City of Rolling Hills,2,103.09,2020-06-01,0,0
City of Rolling Hills Estates,14,172.56,2020-06-01,0,0
City of Rosemead,121,218.61,2020-06-01,3,5.42
City of San Dimas,62,179.63,2020-06-01,1,2.9
City of San Fernando,194,788.23,2020-06-01,7,28.44
City of San Gabriel,140,341.85,2020-06-01,13,31.74
City of San Marino,23,173.23,2020-06-01,1,7.53
City of Santa Clarita,772,350.23,2020-06-01,16,7.26
City of Santa Fe Springs,73,397.52,2020-06-01,0,0
City of Santa Monica,281,303.96,2020-06-01,19,20.55
City of Sierra Madre,12,109.2,2020-06-01,0,0
City of Signal Hill,34,288.21,2020-06-01,0,0
City of South El Monte,91,435.72,2020-06-01,2,9.58
City of South Gate,674,686.67,2020-06-01,17,17.32
City of South Pasadena,129,495.14,2020-06-01,20,76.77
City of Temple City,164,449.87,2020-06-01,21,57.61
City of Torrance,392,262.61,2020-06-01,45,30.15
City of Vernon,3,1435.41,2020-06-01,0,0
City of Walnut,49,160.49,2020-06-01,1,3.28
City of West Covina,371,342.77,2020-06-01,8,7.39
City of West Hollywood,186,503.37,2020-06-01,4,10.83
City of Westlake Village,6,71.77,2020-06-01,0,0
City of Whittier,330,377.44,2020-06-01,10,11.44
Los Angeles,26145,646.42,2020-06-01,1158,28.63
Los Angeles - Adams-Normandie,55,670.57,2020-06-01,3,36.58
Los Angeles - Alsace,55,441.94,2020-06-01,0,0
Los Angeles - Angeles National Forest,0,0,2020-06-01,0,0
Los Angeles - Angelino Heights,16,639.49,2020-06-01,0,0
Los Angeles - Arleta,293,852.49,2020-06-01,5,14.55
Los Angeles - Atwater Village,52,354.56,2020-06-01,2,13.64
Los Angeles - Baldwin Hills,170,546.18,2020-06-01,11,35.34
Los Angeles - Bel Air,36,427.1,2020-06-01,0,0
Los Angeles - Beverly Crest,37,295.41,2020-06-01,2,15.97
Los Angeles - Beverlywood,37,280.88,2020-06-01,0,0
Los Angeles - Boyle Heights*,808,929.98,2020-06-01,15,17.26
Los Angeles - Brentwood,81,261.67,2020-06-01,2,6.46
Los Angeles - Brookside,0,0,2020-06-01,0,0
Los Angeles - Cadillac-Corning,30,421.29,2020-06-01,1,14.04
Los Angeles - Canoga Park,510,781.14,2020-06-01,25,38.29
Los Angeles - Carthay,81,563.95,2020-06-01,7,48.74
Los Angeles - Central,452,1159.21,2020-06-01,16,41.03
Los Angeles - Century City,34,265.79,2020-06-01,0,0
Los Angeles - Century Palms/Cove,301,891.43,2020-06-01,2,5.92
Los Angeles - Chatsworth,201,542.35,2020-06-01,24,64.76
Los Angeles - Cheviot Hills,22,239.89,2020-06-01,1,10.9
Los Angeles - Chinatown,25,311.68,2020-06-01,1,12.47
Los Angeles - Cloverdale/Cochran,77,529.1,2020-06-01,4,27.49
Los Angeles - Country Club Park,101,666.53,2020-06-01,18,118.79
Los Angeles - Crenshaw District,74,535.11,2020-06-01,3,21.69
Los Angeles - Crestview,90,791.7,2020-06-01,14,123.15
Los Angeles - Del Rey,81,270.58,2020-06-01,3,10.02
Los Angeles - Downtown*,153,556.22,2020-06-01,3,10.91
Los Angeles - Eagle Rock,184,464.78,2020-06-01,14,35.36
Los Angeles - East Hollywood,228,778.5,2020-06-01,36,122.92
Los Angeles - Echo Park,49,343.71,2020-06-01,1,7.01
Los Angeles - El Sereno,179,428.15,2020-06-01,15,35.88
Los Angeles - Elysian Park,16,280.11,2020-06-01,0,0
Los Angeles - Elysian Valley,63,619.41,2020-06-01,0,0
Los Angeles - Encino,130,287.79,2020-06-01,12,26.57
Los Angeles - Exposition,13,390.86,2020-06-01,0,0
Los Angeles - Exposition Park,275,612.24,2020-06-01,11,24.49
Los Angeles - Faircrest Heights,4,111.11,2020-06-01,1,27.78
Los Angeles - Figueroa Park Square,40,458.66,2020-06-01,0,0
Los Angeles - Florence-Firestone,434,914.74,2020-06-01,10,21.08
Los Angeles - Glassell Park,187,591.7,2020-06-01,5,15.82
Los Angeles - Gramercy Place,72,668.9,2020-06-01,2,18.58
Los Angeles - Granada Hills,338,580.85,2020-06-01,27,46.4
Los Angeles - Green Meadows,188,874.22,2020-06-01,4,18.6
Los Angeles - Hancock Park,81,475.38,2020-06-01,2,11.74
Los Angeles - Harbor City,103,354.32,2020-06-01,4,13.76
Los Angeles - Harbor Gateway,153,350.92,2020-06-01,5,11.47
Los Angeles - Harbor Pines,9,373.6,2020-06-01,0,0
Los Angeles - Harvard Heights,138,765.18,2020-06-01,13,72.08
Los Angeles - Harvard Park,324,854.09,2020-06-01,3,7.91
Los Angeles - Highland Park,212,438.1,2020-06-01,1,2.07
Los Angeles - Historic Filipinotown,142,1023.79,2020-06-01,5,36.05
Los Angeles - Hollywood,281,411.7,2020-06-01,6,8.79
Los Angeles - Hollywood Hills,85,288.78,2020-06-01,5,16.99
Los Angeles - Hyde Park,157,550.09,2020-06-01,3,10.51
Los Angeles - Jefferson Park,42,520.25,2020-06-01,1,12.39
Los Angeles - Koreatown,286,553.27,2020-06-01,16,30.95
Los Angeles - Lafayette Square,18,394.82,2020-06-01,0,0
Los Angeles - Lake Balboa,209,495.19,2020-06-01,6,14.22
Los Angeles - Lakeview Terrace,111,845.2,2020-06-01,3,22.84
Los Angeles - Leimert Park,61,400.39,2020-06-01,2,13.13
Los Angeles - Lincoln Heights,280,858.97,2020-06-01,19,58.29
Los Angeles - Little Armenia,203,2529.6,2020-06-01,33,411.21
Los Angeles - Little Bangladesh,145,511.59,2020-06-01,3,10.58
Los Angeles - Little Tokyo,22,702.2,2020-06-01,2,63.84
Los Angeles - Longwood,23,534.39,2020-06-01,0,0
Los Angeles - Los Feliz,54,249.91,2020-06-01,1,4.63
Los Angeles - Manchester Square,26,304.59,2020-06-01,0,0
Los Angeles - Mandeville Canyon,2,64.02,2020-06-01,0,0
Los Angeles - Mar Vista,83,195.43,2020-06-01,5,11.77
Los Angeles - Marina Peninsula,14,321.1,2020-06-01,0,0
Los Angeles - Melrose,580,746.5,2020-06-01,37,47.62
Los Angeles - Mid-city,116,771.79,2020-06-01,6,39.92
Los Angeles - Miracle Mile,43,239.09,2020-06-01,5,27.8
Los Angeles - Mission Hills,164,679.82,2020-06-01,8,33.16
Los Angeles - Mt. Washington,107,443.16,2020-06-01,3,12.42
Los Angeles - North Hills,485,787.66,2020-06-01,17,27.61
Los Angeles - North Hollywood,734,484.74,2020-06-01,22,14.53
Los Angeles - Northridge,354,507.19,2020-06-01,30,42.98
Los Angeles - Pacific Palisades,57,267.72,2020-06-01,3,14.09
Los Angeles - Pacoima,783,1017.16,2020-06-01,16,20.78
Los Angeles - Palisades Highlands,4,104,2020-06-01,0,0
Los Angeles - Palms,189,430.75,2020-06-01,20,45.58
Los Angeles - Panorama City,806,1071.1,2020-06-01,40,53.16
Los Angeles - Park La Brea,21,154.64,2020-06-01,1,7.36
Los Angeles - Pico-Union,583,1393.34,2020-06-01,59,141.01
Los Angeles - Playa Del Rey,3,93.87,2020-06-01,0,0
Los Angeles - Playa Vista,26,237.51,2020-06-01,0,0
Los Angeles - Porter Ranch,92,258.51,2020-06-01,6,16.86
Los Angeles - Rancho Park,18,274.39,2020-06-01,0,0
Los Angeles - Regent Square,4,143.88,2020-06-01,0,0
Los Angeles - Reseda,622,811.83,2020-06-01,27,35.24
Los Angeles - Reseda Ranch,30,647.11,2020-06-01,0,0
Los Angeles - Reynier Village,12,283.82,2020-06-01,0,0
Los Angeles - San Pedro*,916,1173.79,2020-06-01,15,19.22
Los Angeles - Shadow Hills,12,270.15,2020-06-01,0,0
Los Angeles - Sherman Oaks,239,273.91,2020-06-01,9,10.31
Los Angeles - Silverlake,190,431.01,2020-06-01,12,27.22
Los Angeles - South Carthay,36,339.78,2020-06-01,1,9.44
Los Angeles - South Park,411,1082.69,2020-06-01,7,18.44
Los Angeles - St Elmo Village,46,1003.49,2020-06-01,6,130.89
Los Angeles - Studio City,82,365.42,2020-06-01,5,22.28
Los Angeles - Sun Valley,324,617.34,2020-06-01,7,13.34
Los Angeles - Sunland,160,784.01,2020-06-01,14,68.6
Los Angeles - Sycamore Square,1,154.56,2020-06-01,0,0
Los Angeles - Sylmar*,835,1013.37,2020-06-01,43,52.19
Los Angeles - Tarzana,175,566.78,2020-06-01,10,32.39
Los Angeles - Temple-Beaudry,343,868.75,2020-06-01,13,32.93
Los Angeles - Thai Town,31,316.04,2020-06-01,0,0
Los Angeles - Toluca Lake,20,229.78,2020-06-01,0,0
Los Angeles - Toluca Terrace,6,459.42,2020-06-01,0,0
Los Angeles - Toluca Woods,3,161.46,2020-06-01,0,0
Los Angeles - Tujunga,124,445.88,2020-06-01,11,39.55
Los Angeles - University Hills,12,349.96,2020-06-01,1,29.16
Los Angeles - University Park,212,772.14,2020-06-01,1,3.64
Los Angeles - Valley Glen,136,453.09,2020-06-01,5,16.66
Los Angeles - Valley Village,217,877.83,2020-06-01,11,44.5
Los Angeles - Van Nuys,757,812.28,2020-06-01,30,32.19
Los Angeles - Venice,68,200.68,2020-06-01,2,5.9
Los Angeles - Vermont Knolls,170,988.37,2020-06-01,2,11.63
Los Angeles - Vermont Square,86,1123.16,2020-06-01,2,26.12
Los Angeles - Vermont Vista,361,876.51,2020-06-01,6,14.57
Los Angeles - Vernon Central,656,1261.59,2020-06-01,11,21.15
Los Angeles - Victoria Park,60,714.37,2020-06-01,2,23.81
Los Angeles - View Heights,10,270.71,2020-06-01,2,54.14
Los Angeles - Watts,326,763.93,2020-06-01,8,18.75
Los Angeles - Wellington Square,24,488.3,2020-06-01,0,0
Los Angeles - West Adams,240,868.62,2020-06-01,16,57.91
Los Angeles - West Hills,147,362.56,2020-06-01,15,37
Los Angeles - West Los Angeles,83,220.53,2020-06-01,4,10.63
Los Angeles - West Vernon,501,933.93,2020-06-01,16,29.83
Los Angeles - Westchester,95,184.1,2020-06-01,9,17.44
Los Angeles - Westlake,770,1297.28,2020-06-01,73,122.99
Los Angeles - Westwood,71,131.22,2020-06-01,5,9.24
Los Angeles - Wholesale District*,707,1956.88,2020-06-01,8,22.14
Los Angeles - Wilmington,289,511.62,2020-06-01,3,5.31
Los Angeles - Wilshire Center,256,510.27,2020-06-01,18,35.88
Los Angeles - Winnetka,309,596.69,2020-06-01,4,7.72
Los Angeles - Woodland Hills,169,248.33,2020-06-01,12,17.63
Unincorporated - Acton,11,138,2020-06-01,1,12.55
Unincorporated - Agua Dulce,9,216.45,2020-06-01,0,0
Unincorporated - Altadena,157,359.93,2020-06-01,5,11.46
Unincorporated - Anaverde,1,66.31,2020-06-01,0,0
Unincorporated - Angeles National Forest,1,80.32,2020-06-01,0,0
Unincorporated - Arcadia,10,125.3,2020-06-01,1,12.53
Unincorporated - Athens-Westmont,238,560.77,2020-06-01,8,18.85
Unincorporated - Athens Village,30,612.62,2020-06-01,2,40.84
Unincorporated - Avocado Heights,32,472.32,2020-06-01,1,14.76
Unincorporated - Azusa,67,420.77,2020-06-01,1,6.28
Unincorporated - Bassett,91,614.16,2020-06-01,2,13.5
Unincorporated - Bouquet Canyon,1,93.2,2020-06-01,1,93.2
Unincorporated - Bradbury,0,0,2020-06-01,0,0
Unincorporated - Canyon Country,39,504.66,2020-06-01,0,0
Unincorporated - Castaic*,693,2548.64,2020-06-01,1,3.68
Unincorporated - Cerritos,0,0,2020-06-01,0,0
Unincorporated - Charter Oak,0,0,2020-06-01,0,0
Unincorporated - Claremont,0,0,2020-06-01,0,0
Unincorporated - Covina,59,350.79,2020-06-01,0,0
Unincorporated - Covina (Charter Oak),46,349.97,2020-06-01,0,0
Unincorporated - Del Aire,16,364.22,2020-06-01,1,22.76
Unincorporated - Del Rey,1,314.47,2020-06-01,0,0
Unincorporated - Del Sur,2,82.82,2020-06-01,1,41.41
Unincorporated - Desert View Highlands,6,240.67,2020-06-01,1,40.11
Unincorporated - Duarte,16,361.34,2020-06-01,1,22.58
Unincorporated - East Covina,0,0,2020-06-01,0,0
Unincorporated - East La Mirada,16,302.34,2020-06-01,0,0
Unincorporated - East Lancaster,0,0,2020-06-01,0,0
Unincorporated - East Los Angeles,1098,876.51,2020-06-01,40,31.93
Unincorporated - East Pasadena,4,62.47,2020-06-01,0,0
Unincorporated - East Rancho Dominguez,61,398.48,2020-06-01,1,6.53
Unincorporated - East Whittier,10,188.47,2020-06-01,0,0
Unincorporated - El Camino Village,37,420.88,2020-06-01,2,22.75
Unincorporated - El Monte,0,0,2020-06-01,0,0
Unincorporated - Elizabeth Lake,3,180.61,2020-06-01,0,0
Unincorporated - Florence-Firestone,633,978.29,2020-06-01,16,24.73
Unincorporated - Franklin Canyon,0,0,2020-06-01,0,0
Unincorporated - Glendora,3,454.55,2020-06-01,0,0
Unincorporated - Hacienda Heights,154,275.36,2020-06-01,2,3.58
Unincorporated - Harbor Gateway,0,0,2020-06-01,0,0
Unincorporated - Hawthorne,7,278.44,2020-06-01,0,0
Unincorporated - Hi Vista,1,91.07,2020-06-01,0,0
Unincorporated - Kagel/Lopez Canyons,8,566.57,2020-06-01,1,70.82
Unincorporated - La Crescenta-Montrose,32,161.61,2020-06-01,1,5.05
Unincorporated - La Habra Heights,0,0,2020-06-01,0,0
Unincorporated - La Rambla,11,530.12,2020-06-01,0,0
Unincorporated - La Verne,5,245.1,2020-06-01,0,0
Unincorporated - Ladera Heights,19,268.7,2020-06-01,1,14.14
Unincorporated - Lake Hughes,1,149.7,2020-06-01,0,0
Unincorporated - Lake Los Angeles,30,230.88,2020-06-01,2,15.39
Unincorporated - Lake Manor,4,243.46,2020-06-01,0,0
Unincorporated - Lakewood,0,0,2020-06-01,0,0
Unincorporated - Lennox,102,452.49,2020-06-01,0,0
Unincorporated - Leona Valley,3,171.33,2020-06-01,0,0
Unincorporated - Littlerock,14,348.17,2020-06-01,0,0
Unincorporated - Littlerock/Juniper Hills,2,154.2,2020-06-01,0,0
Unincorporated - Littlerock/Pearblossom,20,560.38,2020-06-01,0,0
Unincorporated - Llano,1,114.03,2020-06-01,0,0
Unincorporated - Marina del Rey,15,159.39,2020-06-01,1,10.63
Unincorporated - Miracle Mile,0,0,2020-06-01,0,0
Unincorporated - Monrovia,21,541.1,2020-06-01,0,0
Unincorporated - Newhall,1,454.55,2020-06-01,0,0
Unincorporated - North Lancaster,6,500.83,2020-06-01,0,0
Unincorporated - North Whittier,12,143.54,2020-06-01,1,11.96
Unincorporated - Northeast San Gabriel,59,245.47,2020-06-01,3,12.48
Unincorporated - Palmdale,4,475.06,2020-06-01,0,0
Unincorporated - Palos Verdes Peninsula,0,0,2020-06-01,0,0
Unincorporated - Pearblossom/Llano,3,153.37,2020-06-01,0,0
Unincorporated - Pellissier Village,1,161.55,2020-06-01,0,0
Unincorporated - Placerita Canyon,0,0,2020-06-01,0,0
Unincorporated - Pomona,3,154.8,2020-06-01,0,0
Unincorporated - Quartz Hill,46,356.42,2020-06-01,9,69.74
Unincorporated - Rancho Dominguez,18,676.44,2020-06-01,1,37.58
Unincorporated - Roosevelt,0,0,2020-06-01,0,0
Unincorporated - Rosewood,6,466.56,2020-06-01,0,0
Unincorporated - Rosewood/East Gardena,0,0,2020-06-01,0,0
Unincorporated - Rosewood/West Rancho Dominguez,28,833.09,2020-06-01,0,0
Unincorporated - Rowland Heights,141,276.35,2020-06-01,5,9.8
Unincorporated - San Clemente Island,0,0,2020-06-01,0,0
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,2020-06-01,0,0
Unincorporated - San Jose Hills,65,321.45,2020-06-01,2,9.89
Unincorporated - San Pasqual,1,49.14,2020-06-01,0,0
Unincorporated - Sand Canyon,0,0,2020-06-01,0,0
Unincorporated - Santa Catalina Island,2,749.06,2020-06-01,0,0
Unincorporated - Santa Monica Mountains,26,139.63,2020-06-01,1,5.37
Unincorporated - Saugus,4,2580.65,2020-06-01,0,0
Unincorporated - Saugus/Canyon Country,0,0,2020-06-01,0,0
Unincorporated - South Antelope Valley,1,219.78,2020-06-01,0,0
Unincorporated - South El Monte,8,445.68,2020-06-01,0,0
Unincorporated - South San Gabriel,39,440.78,2020-06-01,4,45.21
Unincorporated - South Whittier,165,278.61,2020-06-01,8,13.51
Unincorporated - Southeast Antelope Valley,0,0,2020-06-01,0,0
Unincorporated - Stevenson Ranch,34,162.17,2020-06-01,0,0
Unincorporated - Sun Village,19,314.78,2020-06-01,0,0
Unincorporated - Sunrise Village,6,462.96,2020-06-01,0,0
Unincorporated - Twin Lakes/Oat Mountain,4,241.25,2020-06-01,1,60.31
Unincorporated - Val Verde,25,755.52,2020-06-01,0,0
Unincorporated - Valencia,9,292.97,2020-06-01,1,32.55
Unincorporated - Valinda,94,402.21,2020-06-01,1,4.28
Unincorporated - View Park/Windsor Hills,36,309.41,2020-06-01,2,17.19
Unincorporated - Walnut Park,138,854.86,2020-06-01,3,18.58
Unincorporated - West Antelope Valley,2,132.36,2020-06-01,0,0
Unincorporated - West Carson,104,470.89,2020-06-01,10,45.28
Unincorporated - West Chatsworth,0,0,2020-06-01,0,0
Unincorporated - West LA,23,2415.97,2020-06-01,2,210.08
Unincorporated - West Puente Valley,46,467.72,2020-06-01,0,0
Unincorporated - West Rancho Dominguez,6,441.5,2020-06-01,1,73.58
Unincorporated - West Whittier/Los Nietos,166,616.53,2020-06-01,4,14.86
Unincorporated - Westfield/Academy Hills,0,0,2020-06-01,0,0
Unincorporated - Westhills,0,0,2020-06-01,0,0
Unincorporated - White Fence Farms,6,162.91,2020-06-01,0,0
Unincorporated - Whittier,14,369.98,2020-06-01,0,0
Unincorporated - Whittier Narrows,0,0,2020-06-01,0,0
Unincorporated - Willowbrook,239,684.56,2020-06-01,5,14.32
Unincorporated - Wiseburn,18,298.66,2020-06-01,0,0
-  Under Investigation,2088,,2020-06-01,14,
City of Agoura Hills,35,167.6,2020-06-02,1,4.79
City of Alhambra,226,260.6,2020-06-02,8,9.22
City of Arcadia,91,157.56,2020-06-02,5,8.66
City of Artesia,41,244.12,2020-06-02,0,0
City of Avalon,0,0,2020-06-02,0,0
City of Azusa,189,377.7,2020-06-02,5,9.99
City of Baldwin Park,367,478.06,2020-06-02,6,7.82
City of Bell,350,963.34,2020-06-02,23,63.31
City of Bell Gardens,335,777.79,2020-06-02,10,23.22
City of Bellflower,427,549.3,2020-06-02,19,24.44
City of Beverly Hills,139,402.67,2020-06-02,5,14.48
City of Bradbury,4,374.18,2020-06-02,0,0
City of Burbank,405,377.87,2020-06-02,39,36.39
City of Calabasas,84,345.35,2020-06-02,10,41.11
City of Carson,435,463.53,2020-06-02,25,26.64
City of Cerritos,129,257.65,2020-06-02,1,2
City of Claremont,49,134.31,2020-06-02,0,0
City of Commerce*,79,604.48,2020-06-02,0,0
City of Compton,652,652.63,2020-06-02,15,15.01
City of Covina,183,373.23,2020-06-02,6,12.24
City of Cudahy,265,1088.43,2020-06-02,5,20.54
City of Culver City,161,403.86,2020-06-02,20,50.17
City of Diamond Bar,70,121.71,2020-06-02,1,1.74
City of Downey,766,670.38,2020-06-02,23,20.13
City of Duarte,129,585.94,2020-06-02,15,68.13
City of El Monte,580,494.59,2020-06-02,22,18.76
City of El Segundo,36,214.46,2020-06-02,0,0
City of Gardena,289,471.37,2020-06-02,25,40.78
City of Glendale,990,479.44,2020-06-02,87,42.13
City of Glendora,150,284.28,2020-06-02,6,11.37
City of Hawaiian Gardens,75,511.04,2020-06-02,1,6.81
City of Hawthorne,417,469.66,2020-06-02,15,16.89
City of Hermosa Beach,30,152.52,2020-06-02,2,10.17
City of Hidden Hills,3,158.73,2020-06-02,0,0
City of Huntington Park,537,902.76,2020-06-02,11,18.49
City of Industry,12,2746,2020-06-02,2,457.67
City of Inglewood,643,566.11,2020-06-02,55,48.42
City of Irwindale,4,274.16,2020-06-02,0,0
City of La Canada Flintridge,51,246.46,2020-06-02,5,24.16
City of La Habra Heights,9,164.99,2020-06-02,0,0
City of La Mirada,190,383.07,2020-06-02,15,30.24
City of La Puente,139,341.55,2020-06-02,0,0
City of La Verne,32,96.15,2020-06-02,1,3
City of Lakewood,202,251.36,2020-06-02,6,7.47
City of Lancaster*,627,388.07,2020-06-02,12,7.43
City of Lawndale,131,389.72,2020-06-02,5,14.87
City of Lomita,52,250.86,2020-06-02,6,28.94
City of Lynwood*,658,913.29,2020-06-02,38,52.74
City of Malibu,38,293.19,2020-06-02,1,7.72
City of Manhattan Beach,80,222.23,2020-06-02,3,8.33
City of Maywood,312,1112.34,2020-06-02,10,35.65
City of Monrovia,164,422.68,2020-06-02,20,51.55
City of Montebello,426,661.75,2020-06-02,16,24.85
City of Monterey Park,169,271.43,2020-06-02,7,11.24
City of Norwalk,505,469.23,2020-06-02,21,19.51
City of Palmdale,776,488.15,2020-06-02,17,10.69
City of Palos Verdes Estates,42,310.6,2020-06-02,1,7.4
City of Paramount,369,658.66,2020-06-02,8,14.28
City of Pico Rivera,547,850.91,2020-06-02,28,43.56
City of Pomona,538,345.02,2020-06-02,13,8.34
City of Rancho Palos Verdes,96,224.58,2020-06-02,11,25.73
City of Redondo Beach,143,208.16,2020-06-02,7,10.19
City of Rolling Hills,2,103.09,2020-06-02,0,0
City of Rolling Hills Estates,14,172.56,2020-06-02,0,0
City of Rosemead,125,225.84,2020-06-02,4,7.23
City of San Dimas,63,182.52,2020-06-02,1,2.9
City of San Fernando,195,792.3,2020-06-02,7,28.44
City of San Gabriel,141,344.29,2020-06-02,14,34.18
City of San Marino,23,173.23,2020-06-02,1,7.53
City of Santa Clarita,785,356.13,2020-06-02,16,7.26
City of Santa Fe Springs,73,397.52,2020-06-02,0,0
City of Santa Monica,284,307.21,2020-06-02,19,20.55
City of Sierra Madre,12,109.2,2020-06-02,0,0
City of Signal Hill,37,313.64,2020-06-02,0,0
City of South El Monte,95,454.87,2020-06-02,2,9.58
City of South Gate,687,699.91,2020-06-02,17,17.32
City of South Pasadena,129,495.14,2020-06-02,20,76.77
City of Temple City,166,455.36,2020-06-02,22,60.35
City of Torrance,398,266.63,2020-06-02,45,30.15
City of Vernon,4,1913.88,2020-06-02,0,0
City of Walnut,50,163.76,2020-06-02,1,3.28
City of West Covina,383,353.86,2020-06-02,8,7.39
City of West Hollywood,188,508.78,2020-06-02,4,10.83
City of Westlake Village,6,71.77,2020-06-02,0,0
City of Whittier,336,384.3,2020-06-02,10,11.44
Los Angeles,26738,661.08,2020-06-02,1190,29.42
Los Angeles - Adams-Normandie,56,682.76,2020-06-02,3,36.58
Los Angeles - Alsace,57,458.02,2020-06-02,0,0
Los Angeles - Angeles National Forest,0,0,2020-06-02,0,0
Los Angeles - Angelino Heights,18,719.42,2020-06-02,0,0
Los Angeles - Arleta,296,861.22,2020-06-02,5,14.55
Los Angeles - Atwater Village,52,354.56,2020-06-02,2,13.64
Los Angeles - Baldwin Hills,172,552.61,2020-06-02,11,35.34
Los Angeles - Bel Air,36,427.1,2020-06-02,0,0
Los Angeles - Beverly Crest,37,295.41,2020-06-02,2,15.97
Los Angeles - Beverlywood,37,280.88,2020-06-02,0,0
Los Angeles - Boyle Heights*,827,951.84,2020-06-02,15,17.26
Los Angeles - Brentwood,82,264.9,2020-06-02,2,6.46
Los Angeles - Brookside,0,0,2020-06-02,0,0
Los Angeles - Cadillac-Corning,31,435.33,2020-06-02,1,14.04
Los Angeles - Canoga Park,527,807.18,2020-06-02,27,41.35
Los Angeles - Carthay,82,570.91,2020-06-02,8,55.7
Los Angeles - Central,468,1200.25,2020-06-02,16,41.03
Los Angeles - Century City,35,273.61,2020-06-02,0,0
Los Angeles - Century Palms/Cove,321,950.66,2020-06-02,2,5.92
Los Angeles - Chatsworth,204,550.44,2020-06-02,24,64.76
Los Angeles - Cheviot Hills,22,239.89,2020-06-02,1,10.9
Los Angeles - Chinatown,25,311.68,2020-06-02,1,12.47
Los Angeles - Cloverdale/Cochran,77,529.1,2020-06-02,4,27.49
Los Angeles - Country Club Park,102,673.13,2020-06-02,19,125.39
Los Angeles - Crenshaw District,75,542.34,2020-06-02,3,21.69
Los Angeles - Crestview,90,791.7,2020-06-02,14,123.15
Los Angeles - Del Rey,82,273.92,2020-06-02,3,10.02
Los Angeles - Downtown*,158,574.4,2020-06-02,3,10.91
Los Angeles - Eagle Rock,184,464.78,2020-06-02,15,37.89
Los Angeles - East Hollywood,230,785.33,2020-06-02,37,126.34
Los Angeles - Echo Park,50,350.73,2020-06-02,1,7.01
Los Angeles - El Sereno,186,444.89,2020-06-02,15,35.88
Los Angeles - Elysian Park,16,280.11,2020-06-02,0,0
Los Angeles - Elysian Valley,63,619.41,2020-06-02,0,0
Los Angeles - Encino,133,294.43,2020-06-02,12,26.57
Los Angeles - Exposition,13,390.86,2020-06-02,0,0
